calendario,sector,nombreestablecimiento,telefono,nombre_Rector,correo_Electronico,direccion,secretaria,zona,tipo_Establecimiento,etnias,genero,niveles,jornadas,caracter,especialidad,grados,modelos_Educativos,capacidades_Excepcionales,discapacidades,idiomas,numero_de_Sedes,estado,prestador_de_Servicio,propiedad_Planta_Fisica,resguardo,matricula_Contratada,internado,estrato_Socio_Economico,año
A,,JARDIN INFANTIL EL TESORO DEL SABER,,ROSSMARY  M. DE PEÑA,,CR. 15 NO. 31 A - 08 SUR ,BOGOTA,URBANA,CENTRO EDUCATIVO,,MIXTO,,,NO APLICA,,,,,,,1,ANTIGUO-ACTIVO,PERSONA NATURAL,PERSONA NATURAL,NO APLICA,NO,,,2016
A,,COL TEC DE LA ESC COLOMBIANA DE CARRERAS INDISTRIAL ECCI,3537171 EXT 112,JESUS HOMERO MURILLO GOMEZ,colegio.tecnico@ecci.edu.co,CR. 19 NO.48-36,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,MIXTO,MEDIA,COMPLETA,TÉCNICO,INDUSTRIAL,"10,11",EDUCACIÓN TRADICIONAL,,,,1,ANTIGUO-ACTIVO,PERSONA NATURAL,PERSONA NATURAL,NO APLICA,NO,,,2016
A,,COLEGIO RUR TOTUMA ALTA (CED),,RUTH MARIELA SANABRIA TAUTIVA,cedtotumaalta20@redp.edu.co,CORREGIMIENTO SAN JUAN DE SUMAPAZ,BOGOTA,RURAL,CENTRO EDUCATIVO,,MIXTO,"PREESCOLAR,BÁSICA PRIMARIA",MAÑANA,NO APLICA,,"-2,-1,0,1,2,3,4,5,99","EDUCACIÓN TRADICIONAL,ACELERACIÓN DEL APRENDIZAJE",,,,1,ANTIGUO-ACTIVO,OFICIAL,OFICIAL,NO APLICA,NO,,,2016
A,,COL MARIA AUXILIADORA NORTE,6740258 -- 6711042,SOR STELLA DIEZ MUÑOZ,auxiliadora170@latinmail.com -- colegiomauxinorte@gmail.com,KR 8 G 166 70,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,FEMENINO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,COMPLETA",ACADÉMICO,ACADÉMICA,"-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,,,1,NUEVO-ACTIVO,COMUNIDAD RELIGIOSA,PERSONA NATURAL,NO APLICA,NO,,,2016
A,,GIMN LA KHUMBRE,6765072 -- 6765073 -- 6760574,MARTIN EMILIO RODRIGUEZ PLATA,lakhumbre@yahoo.com  -- lakhumbre@gmail.com,IND KM 16 VIA GUAYMARAL,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,MIXTO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",COMPLETA,ACADÉMICO,ACADÉMICA,"-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,,,1,ANTIGUO-ACTIVO,PERSONA NATURAL,PERSONA NATURAL,NO APLICA,NO,,,2016
A,,COL DE PROFESIONALIZACION TECNOLOGICA                                                               ,2273796 / 5351264 / 5351265                       ,MARIA CAROLINA MACIAS, ccocobo@hotmail.com,CL 79 107 28,BOGOTA,URBANA,CENTRO EDUCATIVO,,MIXTO,"MEDIA,BÁSICA SECUNDARIA",NOCTURNA,ACADÉMICO,ACADÉMICA,"23,24,25,26",PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,,,INGLÉS,1,ANTIGUO-ACTIVO,PERSONA NATURAL,PERSONA NATURAL,NO APLICA,NO,,,2016
A,,JARD INF MANITAS FELICES                                                                            ,2292932,MONICA AMPARO CUERVO MERCHAN,nenitacm@hotmail.com                              ,KR 112 A 71 L 22,BOGOTA,URBANA,CENTRO EDUCATIVO,,MIXTO,PREESCOLAR,MAÑANA,NO APLICA,,-3,PREESCOLAR ESCOLARIZADO_,,,INGLÉS,1,ANTIGUO-ACTIVO,PERSONA NATURAL,PERSONA NATURAL,NO APLICA,NO,,,2016
A,,COL GIMN EL PORTILLO                                                                                ,6812091 -- 6812077,MARTHA PATRICIA DUARTE MEDINA,administracion@gimportillo.com gportillo@gimportillo.com,KM. 7 VIA SUBA A COTA VEREDA EL CHORRILLO,BOGOTA,RURAL,INSTITUCION EDUCATIVA,,MIXTO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",COMPLETA,ACADÉMICO,ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11","PREESCOLAR ESCOLARIZADO_,EDUCACIÓN TRADICIONAL",,,,1,ANTIGUO-ACTIVO,PERSONA NATURAL,PERSONA NATURAL,NO APLICA,NO,,,2016
A,,CORP TECNOLG EMPRESARIAL,5446102,SILVIA ARIAS ARIAS,rectoria_bachillerato@hotmail.com,CLL.  71A NO.74A-36,BOGOTA,URBANA,CENTRO EDUCATIVO,,MIXTO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA","MAÑANA,COMPLETA",ACADÉMICO,ACADÉMICA,"0,23,24,25,26","PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,EDUCACIÓN TRADICIONAL",,,,1,ANTIGUO-ACTIVO,PERSONA NATURAL,PERSONA NATURAL,NO APLICA,NO,,,2016
A,,LICEO PEDAGOGICO EL SABER                                                                           ,4314650,MELVA ZULIMA MOJICA DIAZ,profesor34@hotmail.com                            ,CL 75 BIS 105 B 16,BOGOTA,URBANA,CENTRO EDUCATIVO,,MIXTO,PREESCOLAR,MAÑANA,NO APLICA,,-3,PREESCOLAR ESCOLARIZADO_,,,HEBREO,1,ANTIGUO-ACTIVO,PERSONA NATURAL,PERSONA NATURAL,NO APLICA,NO,,,2016
B,,COL ABRAHAM LINCOLN                                                                                 ,6767360 / 6767367 / 6779800                       ,MILTON ANTONIO MARTINEZ VALERO,rectoria@abrahamlincolin.edu.co                   ,DG 170 59 57,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,MIXTO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",COMPLETA,ACADÉMICO,ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,,INGLÉS,1,ANTIGUO-ACTIVO,FUNDACION O CORPORACIONES,FUNDACION O CORPORACIONES,NO APLICA,NO,,,2016
A,,GIMN INF MI PRIMERA U                                                                               ,2510875,MARINA CONSUELO CASTAÑO GALLEGO,consfu@hotmail.com,KR 70 C 65 17,BOGOTA,URBANA,CENTRO EDUCATIVO,,MIXTO,PREESCOLAR,MAÑANA,NO APLICA,,-3,EDUCACIÓN TRADICIONAL,,DI-COGNITIVO,,1,ANTIGUO-ACTIVO,PERSONA NATURAL,PERSONA NATURAL,NO APLICA,NO,,,2016
B,,COL INTERNACIONAL DE BOGOTA                                                                         ,6761276,ADRIANA ZARATE LOPEZ,colegiointernacional2011@gmail.com                       ,KR 49 202 85,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,MIXTO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",COMPLETA,ACADÉMICO,ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12",EDUCACIÓN TRADICIONAL,,,INGLÉS,1,ANTIGUO-ACTIVO,PERSONA NATURAL,PERSONA NATURAL,NO APLICA,NO,,,2016
A,,JARD INF PERIQUITO                                                                                  ,2152698 -- 6197564,MARÍA ISABEL DELGADO DE CUBIDES,jardinperiquito@hotmail.com,CL 111 3 74,BOGOTA,URBANA,CENTRO EDUCATIVO,,MIXTO,PREESCOLAR,COMPLETA,NO APLICA,,-3,EDUCACIÓN TRADICIONAL,,TRANSTORNO DEL ESPECTRO AUTISTA,,1,ANTIGUO-ACTIVO,PERSONA NATURAL,PERSONA NATURAL,NO APLICA,NO,,,2016
B,,JARD INF MI PEQUEÑO MUNDO BARRETO GOMEZ Y CIA LTDA                                                  ,2713638 -- 2713911 -- 2267914 ,MARIA MERCEDES GOMEZ DE MACALLISTER ,mpm@mipequenomundo.edu.co,CL 131 77 04,BOGOTA,URBANA,CENTRO EDUCATIVO,,MIXTO,PREESCOLAR,COMPLETA,NO APLICA,,-3,,,,,1,ANTIGUO-ACTIVO,PERSONA NATURAL,PERSONA NATURAL,NO APLICA,NO,,,2016
A,,JARD INF PICARDIAS                                                                                  ,6248952  / 5495996,CLAUDIA ACELAS,,KR 36 A 53 A 55,BOGOTA,URBANA,CENTRO EDUCATIVO,,MIXTO,PREESCOLAR,MAÑANA,NO APLICA,,-3,"PREESCOLAR ESCOLARIZADO_,EDUCACIÓN TRADICIONAL",,,HEBREO,1,ANTIGUO-ACTIVO,PERSONA NATURAL,PERSONA NATURAL,NO APLICA,NO,,,2016
A,,JARD INF PREESC CIUDAD MONTES                                                                       ,2027814 -- 2030922,GRACIELA NAVARRETE CABRERA,ciudadmontes@gmail.com,AC 8 SUR 38 A 46,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,MIXTO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",COMPLETA,ACADÉMICO,ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,,,1,ANTIGUO-ACTIVO,PERSONA NATURAL,PERSONA NATURAL,NO APLICA,NO,,,2016
A,,INST INTEGRADO DE SUBA                                                                              ,6904694,DORIS SUAREZ MORA,,CL 139 108 64,BOGOTA,URBANA,CENTRO EDUCATIVO,,MIXTO,"MEDIA,BÁSICA SECUNDARIA","MAÑANA,NOCTURNA,FIN DE SEMANA",ACADÉMICO,ACADÉMICA,"23,24,25,26",PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,,,INGLÉS,1,ANTIGUO-ACTIVO,PERSONA NATURAL,PERSONA NATURAL,NO APLICA,NO,,,2016
A,,POLITECNICO LA SALLE                                                                                ,2782182 / 2095696                                 ,LUZ STELLA MALPICA,,KR 10 20 93 SUR,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,MIXTO,"MEDIA,BÁSICA SECUNDARIA","MAÑANA,NOCTURNA,FIN DE SEMANA",ACADÉMICO,ACADÉMICA,"6,7,8,9,10,11,23,24,25,26","PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,EDUCACIÓN TRADICIONAL",,,INGLÉS,1,ANTIGUO-ACTIVO,PERSONA NATURAL,PERSONA NATURAL,NO APLICA,NO,,,2016
A,,COL BLAISE PASCAL                                                                                   ,2028394,MARY GUERRERO BALLEN,maryguerrero8@hotmail.com -- libiroga@hotmail.com,CL 27 SUR 39 B 09,BOGOTA,URBANA,CENTRO EDUCATIVO,,MIXTO,"PREESCOLAR,BÁSICA PRIMARIA",MAÑANA,NO APLICA,,"-2,-1,0,1,2,3,4,5",EDUCACIÓN TRADICIONAL,,"DI-COGNITIVO,LESIÓN NEUROMUSCULAR,PARALISIS CEREBRAL,SORDERA PROFUNDA,SÍNDROME DE DOWN,HIPOACUSIA O BAJA AUDICIÓN",,1,ANTIGUO-ACTIVO,PERSONA NATURAL,PERSONA NATURAL,NO APLICA,NO,,,2016
A,,INST DE PEDAG AUTOACTIVA DE GRUPOS (IPAG)                                                           ,6711029 -- 6701198,CARMEN TULIA CORDOBA ACOSTA,colegioipag@gmail.com,KR 8 C 183 32,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,MIXTO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",COMPLETA,TÉCNICO / ACADÉMICO,"PEDAGOGICO,OTRO,COMERCIAL,ACADÉMICA","0,1,2,3,4,5,6,7,8,9,10,11,14,15",EDUCACIÓN TRADICIONAL,CAPACIDADES EXCEPCIONALES,"DI-COGNITIVO,LESIÓN NEUROMUSCULAR,OTRA DISCAPACIDAD,LIMITACIÓN FISICA (MOVILIDAD),MÚLTIPLE DISCAPACIDAD,HIPOACUSIA O BAJA AUDICIÓN",,1,ANTIGUO-ACTIVO,PERSONA NATURAL,PERSONA NATURAL,NO APLICA,NO,,,2016
A,,ESC PEDAGOGICA EXPERIMENTAL                                                                         ,6486823 -- 6485371,MARIA DEYANIRA VALVERDE LOPEZ,epe@epe.edu.co -- marleny.caro@epe.edu.co,IND KM 5 VIA A LA CALERA,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,MIXTO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",COMPLETA,ACADÉMICO,ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,,,1,ANTIGUO-ACTIVO,PERSONA NATURAL,PERSONA NATURAL,NO APLICA,NO,,,2016
A,,COL CENTRO CULTURAL                                                                                 ,5699286 -- 7623886,LUZ EDITH BARAHONA SUAREZ,colegiocentrocultural22@latinmail.com,CL 72 SUR 2 A 32,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,MIXTO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",COMPLETA,TÉCNICO / ACADÉMICO,"OTRO,ACADÉMICA","-1,0,1,2,3,4,5,6,7,8,9,10,11,22,23,24,25,26","PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,EDUCACIÓN TRADICIONAL",,DI-COGNITIVO,,1,ANTIGUO-ACTIVO,PERSONA NATURAL,PERSONA NATURAL,NO APLICA,NO,,,2016
A,,JARDÍN INFANTIL PATTY                                                                               ,3615457,PATRICIA FRANCO CARDENAS,jardininfantilpatty@hotmail.com,CL 22 SUR 5 14,BOGOTA,URBANA,CENTRO EDUCATIVO,,MIXTO,"PREESCOLAR,BÁSICA PRIMARIA",MAÑANA,NO APLICA,,"-2,-1,0,1,2,3,4,5",EDUCACIÓN TRADICIONAL,,,,1,ANTIGUO-ACTIVO,PERSONA NATURAL,PERSONA NATURAL,NO APLICA,NO,,,2016
B,,COL SAN TARSICIO                                                                                    ,6711819 -- 6711584,JUAN ANTONIO RODRÍGUEZ FLÓREZ,mimoreno@santarsicio.edu.co,CL 169 B 62 30,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,MASCULINO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",COMPLETA,ACADÉMICO,ACADÉMICA,"-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,,,1,ANTIGUO-ACTIVO,PERSONA NATURAL,PERSONA NATURAL,NO APLICA,NO,,,2016
A,,GIMN LOS ROBLES                                                                                     ,6760081,CARLOS MAURICIO PERAZA ALVAREZ,correos@gimnasiolosrobles.edu.co -- sec_academica@gimnasiolosrobles.edu.co,IND AUTOP. NORTE CARRET. GUAYMARAL CHIA KM. 5,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,MIXTO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",COMPLETA,ACADÉMICO,ACADÉMICA,"0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,,,1,ANTIGUO-ACTIVO,PERSONA NATURAL,PERSONA NATURAL,NO APLICA,NO,,,2016
A,,GIMN PASCAL                                                                                         ,6815501 / 6841645,JOAQUIN ALBERTO URBINA MORENO,gimpascal@hotmail.com                             ,CL 171 # 93 - 35 KM 2.5 VÍA COTA ,BOGOTA,RURAL,INSTITUCION EDUCATIVA,,MIXTO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,COMPLETA,NOCTURNA,TARDE,FIN DE SEMANA",ACADÉMICO,ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,22,23,24,25,26","PREESCOLAR ESCOLARIZADO_,PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,EDUCACIÓN TRADICIONAL",,DI-COGNITIVO,,1,ANTIGUO-ACTIVO,PERSONA NATURAL,PERSONA NATURAL,NO APLICA,NO,,,2016
A,,COL EL PRADO                                                                                        ,2580579,ARISTIDES RODRIGUEZ CEFERINO,colprado@007mundo.com                             ,CLL. 132 NO.40-40,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,MIXTO,"MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",COMPLETA,ACADÉMICO,ACADÉMICA,"1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,,"INGLÉS,FRANCES",1,ANTIGUO-ACTIVO,PERSONA NATURAL,PERSONA NATURAL,NO APLICA,NO,,,2016
A,,COL CALIFORNIA                                                                                      ,6713690,AURA AYDEE ROCHA DE SANCHEZ,colcalifornia@gmail.com,CL 161 A 7 G 52,BOGOTA,URBANA,CENTRO EDUCATIVO,,MIXTO,"PREESCOLAR,BÁSICA PRIMARIA",COMPLETA,NO APLICA,,"-1,0,1,2,3,4,5",EDUCACIÓN TRADICIONAL,,,,1,ANTIGUO-ACTIVO,PERSONA NATURAL,PERSONA NATURAL,NO APLICA,NO,,,2016
B,,COL ITALIANO LEONARDO DA VINCI                                                                      ,2586295 -- 2586296 -- 2586434,FERNANDO VITA SUAREZ,fernandov@davinci.edu.co -- fernandovita@davinci.edu.co,KR 21 127 23,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,MIXTO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",COMPLETA,ACADÉMICO,ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12",EDUCACIÓN TRADICIONAL,,,ITALIANO,1,ANTIGUO-ACTIVO,FUNDACION O CORPORACIONES,FUNDACION O CORPORACIONES,NO APLICA,NO,,,2016
A,,COL DE LA SALLE                                                                                     ,6690052 -- 6789160,HNO. WILLIAM FERNANDO DUQUE DUQUE,colsalle@colsalle.edu.co -- rectoria@colsalle.edu.co,CL 170 12 10,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,MIXTO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",COMPLETA,ACADÉMICO,ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,,,1,ANTIGUO-ACTIVO,COMUNIDAD RELIGIOSA,COMUNIDAD RELIGIOSA,NO APLICA,NO,,,2016
A,,COL ESCLAVAS SGDO CORAZON DE JESUS                                                                  ,6718716 - 6718570,JUAN JAIRO LAVERDE LOPEZ,colesclavas@colegioesclavas.edu.co,CL 175 20 A 26,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,MIXTO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",COMPLETA,ACADÉMICO,ACADÉMICA,"0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,"SV-BAJA VISIÓN,LIMITACIÓN FISICA (MOVILIDAD)",,1,ANTIGUO-ACTIVO,COMUNIDAD RELIGIOSA,COMUNIDAD RELIGIOSA,NO APLICA,NO,,,2016
A,,COL SAN PATRICIO                                                                                    ,6838640 -- 6815357,PAULINA ENCINALES DE SANJINES,correo@colegiodesanpatricio.edu.co,KR 80 137 02,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,FEMENINO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA,PRIMERA INFANCIA",COMPLETA,ACADÉMICO,ACADÉMICA,"-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11","PREESCOLAR NO ESCOLARIZADO/SEMIESCOLARIZADO   ,EDUCACIÓN TRADICIONAL",,,INGLÉS,1,ANTIGUO-ACTIVO,PERSONA NATURAL,PERSONA NATURAL,NO APLICA,NO,,,2016
A,,COLEGIO CRISTO REY BOGOTA,2262432,CLAUDIA MADRID DE AGUIRRE,contacto@cristoreybogota.edu.co,AC 138 58 D 50,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,MIXTO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",COMPLETA,ACADÉMICO,ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,,INGLÉS,1,ANTIGUO-ACTIVO,COMUNIDAD RELIGIOSA,COMUNIDAD RELIGIOSA,NO APLICA,NO,,,2016
A,,COL AGUSTINIANO SUBA                                                                                ,6825940 / 6815627                                 ,FRAY JAIME IVAN SANCHEZ GORDILLO,colagustin_suba@hotmail.com                       ,KR 90 146 C 40,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,MIXTO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",COMPLETA,ACADÉMICO,ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11","PREESCOLAR ESCOLARIZADO_,EDUCACIÓN TRADICIONAL",,,INGLÉS,1,ANTIGUO-ACTIVO,COMUNIDAD RELIGIOSA,COMUNIDAD RELIGIOSA,NO APLICA,NO,,,2016
A,,COL STELLA MATUTINA                                                                                 ,6711332 / 6718869                                 ,SOR MARÍA CONSUELO CORREDOR FONNEGRA,stellamatutina@geomundos.com                      ,KR 61 182 60,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,MIXTO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",COMPLETA,ACADÉMICO,ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,,INGLÉS,1,ANTIGUO-ACTIVO,COMUNIDAD RELIGIOSA,COMUNIDAD RELIGIOSA,NO APLICA,NO,,,2016
B,,COLEGIO DE INGLATERRA (THE ENGLISH SCHOOL),6767700,LUIS EDUARDO RIVAS GARZON,rector@englishschool.edu.co - lerivas@englishschool.edu.co - nmoreno@englishschool.edu.co,CL 170 15 68,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,MIXTO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",COMPLETA,ACADÉMICO,ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,MÚLTIPLE DISCAPACIDAD,"INGLÉS,FRANCES",1,ANTIGUO-ACTIVO,FUNDACION O CORPORACIONES,FUNDACION O CORPORACIONES,NO APLICA,NO,,,2016
A,,COLEGIO DEL ROSARIO CAMPESTRE,6798080 -- 6798086,SOR DORIS GIOMAR GONZALEZ AFRICANO,contactenos@colrosariocampnorte.edu.co,KR 7 CL 212,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,MIXTO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",COMPLETA,ACADÉMICO,ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,,INGLÉS,1,ANTIGUO-ACTIVO,COMUNIDAD RELIGIOSA,COMUNIDAD RELIGIOSA,NO APLICA,NO,,,2016
A,,LIC  ANDRES DIAZ VENERO DE LEIVA                                                                    ,6704472,ANA SOFIA DIAZ DE HERRERA,licandresdiaz@hotmail.com,KR 7 D BIS A 156 08,BOGOTA,URBANA,CENTRO EDUCATIVO,,MIXTO,"PREESCOLAR,BÁSICA PRIMARIA",COMPLETA,NO APLICA,,"-1,0,1,2,3,4,5",EDUCACIÓN TRADICIONAL,,,,1,ANTIGUO-ACTIVO,PERSONA NATURAL,PERSONA NATURAL,NO APLICA,NO,,,2016
A,,COL MONSEÑOR BERNARDO SANCHEZ  HNAS DE NSTRA SRA PAZ                                                ,3670145 -- 2062508 -- 3656961,HNA MARIA SOLEDAD GARCIA RAMIREZ,colcmbs@yahoo.es,KR 14 ESTE 66 70 SUR,BOGOTA,URBANA,INSTITUCION EDUCATIVA,,MIXTO,"MEDIA,BÁSICA SECUNDARIA",COMPLETA,ACADÉMICO,ACADÉMICA,"6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,,,1,ANTIGUO-ACTIVO,COMUNIDAD RELIGIOSA,COMUNIDAD RELIGIOSA,NO APLICA,NO,,,2016
A,,LIC  REAL ESPAÑA                                                                                    ,7821979,IRMA PEÑA PARRA,realespana@telecorp.net.co                        ,CR. 88 NO. 74A-15 SUR BOSA,BOGOTA,URBANA,CENTRO EDUCATIVO,,MIXTO,"PREESCOLAR,BÁSICA PRIMARIA","MAÑANA,TARDE",NO APLICA,,"-1,0,1,2,3,4,5",EDUCACIÓN TRADICIONAL,,,INGLÉS,1,ANTIGUO-ACTIVO,PERSONA NATURAL,PERSONA NATURAL,NO APLICA,NO,,,2016
A,,COL MI PRIMERA FORMACION                                                                            ,2504640 / 2406361                                 ,MARGARITA PARRA SÀNCHEZ,colmiprimeraformacion@hotmail.com,CL 68 B 60 24,BOGOTA,URBANA,CENTRO EDUCATIVO,,MIXTO,"PREESCOLAR,BÁSICA PRIMARIA",COMPLETA,NO APLICA,,"-2,-1,0,1,2,3,4,5",EDUCACIÓN TRADICIONAL,,,INGLÉS,1,ANTIGUO-ACTIVO,PERSONA NATURAL,PERSONA NATURAL,NO APLICA,NO,,,2016
A,,CENT EDUC PROEDUCAR,2795214,SANDRA MILENA CALDERON ZUÑIGA,ceproeducar3@hotmail.com -- proeducar3@hotmail.com,AV CARACAS 44 60 SUR PI 2,BOGOTA,URBANA,CENTRO EDUCATIVO,,MIXTO,"MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,COMPLETA,NOCTURNA,FIN DE SEMANA",ACADÉMICO,ACADÉMICA,"5,21,22,23,24,25,26","PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,EDUCACIÓN TRADICIONAL",,,INGLÉS,1,ANTIGUO-ACTIVO,PERSONA NATURAL,PERSONA NATURAL,NO APLICA,NO,,,2016
A,,COL BRITANICO SEDE KENNEDY,4030267  /4020361 / 4510209 ,MARTIN OVIEDO LIZARAZO,colegiobritanico@hotmail.com   colegiobritanicosedekennedy@yahoo.com   c.britanico@hotmail.com      ,KR 80 38 28 SUR,BOGOTA,URBANA,CENTRO EDUCATIVO,,MIXTO,"MEDIA,BÁSICA SECUNDARIA","MAÑANA,NOCTURNA",ACADÉMICO,ACADÉMICA,"23,24,25,26",PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,,,INGLÉS,1,ANTIGUO-ACTIVO,PERSONA NATURAL,PERSONA NATURAL,NO APLICA,NO,,,2016
A,,GIMN LA ALEGRIA DE VIVIR                                                                            ,2701801 /  2702418,RAMIRO SUAREZ,,TV 42 42 08 SUR,BOGOTA,URBANA,CENTRO EDUCATIVO,,MIXTO,"PREESCOLAR,BÁSICA PRIMARIA",COMPLETA,NO APLICA,,"-2,-1,0,1,2,3,4,5","ESCUELA NUEVA,EDUCACIÓN TRADICIONAL",,,FRANCES,1,ANTIGUO-ACTIVO,PERSONA NATURAL,PERSONA NATURAL,NO APLICA,NO,,,2016
A,,LIC ARCO IRIS                                                                                       ,2609051,FANNY ALAYON ALAYON,,CR. 53B NO. 1-20,BOGOTA,URBANA,CENTRO EDUCATIVO,,MIXTO,PREESCOLAR,COMPLETA,NO APLICA,,-3,EDUCACIÓN TRADICIONAL,,"DI-COGNITIVO,SÍNDROME DE DOWN",HEBREO,1,ANTIGUO-ACTIVO,PERSONA NATURAL,PERSONA NATURAL,NO APLICA,NO,,,2016
